place_name,texte_fautif,explication
Emmaüs Neuilly-sur-Marne,…etc.,Utilisation incorrecte de '...etc.' qui devrait être remplacé par 'etc.' ou 'et cetera' pour signifier 'et autres'
Emmaüs Neuilly-sur-Marne,Mardi au vendredi,"Manque de trait d'union entre 'Mardi' et 'vendredi' pour indiquer une période, devrait être 'du mardi au vendredi'"
Emmaüs Neuilly-sur-Marne,Mardi au samedi,"Manque de trait d'union entre 'Mardi' et 'samedi' pour indiquer une période, devrait être 'du mardi au samedi'"
Emmaüs Neuilly-sur-Marne,Neuilly-Plaisance,"La boutique est située à Neuilly-sur-Marne selon le début du texte, mais le dépôt est à Neuilly-Plaisance, il faudrait clarifier si c'est intentionnel ou non"
Service Social Municipal de Bagnolet,En plus de la présence d'Assistantes Sociales,"accord de genre : 'assistants sociaux' ou 'assistantes sociales' si tous les assistants sont des femmes, mais 'assistants sociaux' si le groupe est mixte"
Service Social Municipal de Bagnolet,d'écrivains administratifs,erreur de vocabulaire : 'écrivains' -> 'agents administratifs' ou 'personnels administratifs' pour désigner les personnes qui aident pour les démarches administratives
Service social de polyvalence municipal- Bobigny,,
Circonscription de Service Social Départemental de Bondy,,
Circonscription du Service Social Départemental de Montfermeil/ Coubron/ Clichy-sous-Bois. Site de Clichy sous Bois,,
Circonscription de Service Social Départemental de Drancy,,
Circonscription du Service Social Départemental de Dugny/ Le Bourget/ Le Blanc Mesnil. Site du Blanc Mesnil.,,
Circonscription du Service Social Départemental d'Epinay-sur-Seine-Villetaneuse / site d'Epinay sur Seine,,
"Circonscription du Service Social Départemental de Neuilly sur Marne, Neuilly Plaisance, Gagny",,
Circonscription du Service Social Départemental de La Courneuve,,
MAISON DEPARTEMENTALE DES SOLIDARITES Dugny/Le Bourget/ Le Blanc Mesnil. Site du Blanc-Mesnil,,
Circonscription de Service Social Départemental du Pré-Saint-Gervais/ Les Lilas,,
CCAS des Lilas,,
Circonscription du Service Social Départemental de L'Ile-Saint-Denis- Saint Ouen / Site de L'Ile St Denis,,
Circonscription du Service Social Départemental de Pavillons sous Bois / Livry-Gargan /Vaujours. Site de Livry Gargan.,,
Circonscription du Service Social Départemental de Montfermeil /Coubron/Clichy sous Bois. Site de Montfermeil.,,
Circonscription du Service Social Départemental de Montreuil,,
Circonscription du Service Social Départemental de Noisy-le-Sec/ Romainville. Site de Noisy le Sec.,,
Circonscription du Service Social Départemental de Pantin,,
Circonscription du Service Social Départemental des Pavillons-sous-Bois / Livry Gargan/ Vaujours. Site des Pavillons sous Bois,,
Circonscription du Service Social Départemental de Pierreﬁtte-Sur-Seine/Stains. Site de Pierrefitte sur Seine.,,
Circonscription du Service Social Départemental de Noisy le Sec /Romainville. Site de Romainville.,,
Circonscription du Service Social Départemental de Rosny-sous-Bois/Villemomble-Le Raincy . Site de Rosny sous Bois.,,
CSAPA Barbusse,,
Service social de polyvalence municipal - Saint-Denis,habitants de de Saint-Denis,répétition du mot 'de'
Circonscription du Service Social Départemental de Sevran,,
Circonscription du Service Social Départemental de Tremblay-en-France/Villepinte. Site de Tremblay en France.,,
La Maison des femmes de Saint-Denis - Prise en charge des femmes victimes de violences,santé sexuelle et IVG mutilations sexuelles féminines violences,manque de ponctuation pour séparer les éléments de la liste
La Maison des femmes de Saint-Denis - Prise en charge des femmes victimes de violences,CORALIS pour l’accueil en urgence des victimes de viols et d’agressions sexuelles,manque de virgule après 'CORALIS' pour améliorer la lisibilité
La Maison des femmes de Saint-Denis - Prise en charge des femmes victimes de violences,"Les patients peuvent voir un psychologue, un gynécologue et un travailleur social au même endroit","incohérence de genre, 'patientes' est utilisé précédemment, il faudrait utiliser 'Les patientes' pour maintenir la cohérence"
CCAS de Saint-Denis,,
Circonscription du Service Social Départemental deRosny sous Bois/ Villemomble-Le Raincy. Site de Villemomble.,,
Circonscription du Service Social Départemental de'Epinay sur Seine/Villetaneuse. Site de Villetaneuse.,,
Circonscription du Service Social Départemental de Pierrefitte/Stains. Site de Stains.,,
Permanence RESF Le Pré-Saint-Gervais,,
Permanence RESF Les Lilas,les aides,"erreur d'accord : 'les aide' ou 'aide' serait plus approprié, mais le verbe correct est 'aide' au sens 'aider', donc 'aide à' devrait être remplacé par 'aident à' ou 'aide à' devrait être remplacé par 'aide' si le sujet est 'il'"
Permanence RESF Les Lilas,"les jeunes majeurs qui étudient, travaillent et vivent parmi nous sans titre de séjour","pas d'erreur flagrante, mais 'parmi nous' pourrait être remplacé par 'en notre midst' ou simplement 'parmi nous' pourrait être conservé, mais 'en France' pourrait être ajouté pour plus de clarté"
Permanence RESF Les Lilas,celles et ceux,"pas d'erreur, mais 'ceux et celles' est également correct"
Collectif Des Sans Papiers de Livry Gargan,personnes accompagnée,accord de genre : 'personnes accompagnées'
Collectif Des Sans Papiers de Livry Gargan,victimes d'interventions de contrôles d'identités abusifs,accord de genre : 'victimes d'interventions de contrôles d'identités abusives'
Collectif Des Sans Papiers de Livry Gargan,procédures judiciaires complexes et expéditives,"pas d'erreur détectée, mais 'expéditives' pourrait être remplacé par 'expédifiées' pour plus de clarté"
Secours Populaire - Comité d'Aubervilliers,,
Permanence RESF Noisy-le-Sec,,
Permanence d'accès aux droits LDH-RESF - les Marnaudes,les aides,"erreur d'accord : 'les aide' ou 'aide' serait plus approprié, mais le verbe correct est 'aide' au sens 'aider', donc 'aide à' est incorrect, il faut utiliser 'aide' ou 'aident' ou 'aider' selon le contexte, ici 'aide' est un verbe et doit être conjugué en 'aident' pour s'accorder avec 'les familles et les jeunes majeurs', donc 'aident' est la bonne réponse"
Permanence d'accès aux droits LDH-RESF - les Marnaudes,les Marnaudes,"erreur d'accord : manque de l'article défini 'les' avant 'Marnaudes' si c'est un nom de lieu, mais si 'Marnaudes' est un nom propre, alors il faudrait écrire 'du Centre socioculturel des Marnaudes' ou 'du centre socioculturel Marnaudes' selon le contexte"
Secours Populaire - Comité de Bagnolet,,
Secours Populaire - Comité du Blanc-Mesnil,,
Secours Populaire - Comité de Bobigny,,
Secours Populaire - Comité de Pierrefitte,,
APES Edouard Vaillant,,
Secours Populaire - Comité de Romainville,,
Secours Populaire - Comité de Saint-Ouen,,
Association Nénuphar,"des populations et d’origines, de genres et d’âges différents",manque de conjonction de coordination pour relier les éléments de la liste
Association Nénuphar,l’on retrouve,utilisation incorrecte de l’article contracté 'l’on' qui devrait être remplacé par 'on'
Association Nénuphar,"à travers des activités culturelles, ludiques et gastronomiques ainsi que de Savoir et de Réﬂexion",utilisation incorrecte de 'ainsi que de' qui devrait être remplacé par 'ainsi que' pour introduire les activités
Association Nénuphar,des ateliers d'apprentissage du français : en Français Langue Etrangère aux niveaux débutants et intermédiaires,utilisation incorrecte des deux points qui pourraient être remplacés par une virgule pour améliorer la fluidité de la phrase
Association Nénuphar,Ceux-ci sont ouverts aux primo- arrivant,"erreur d'orthographe, 'primo-arrivant' devrait être 'primo-arrivants' pour accord de genre et de nombre"
Association Nénuphar,"L’association œuvre également à la promotion et au développement personnel, social et professionnel des femmes par l’éducation, l’échange et l’entraide, aﬁn de leur donner les clés d’une pleine intégration et d’un épanouissement dans la vie sociale",utilisation incorrecte du mot 'aﬁn' qui devrait être remplacé par 'afin' pour corriger l'orthographe
Secours Populaire - Comité de Sevran,,
Secours Populaire - Comité de Villetaneuse,une participation financiere peut-être demandee,erreur d'orthographe : 'financiere' doit être 'financière' et 'peut-être' doit être 'peut être' pour indiquer la possibilité d'une demande
Secours Populaire - Comité de Villetaneuse,"Permanence d'accueil le lundi, mardi, jeudi et vendredi",erreur de répétition : 'le' est inutile avant 'lundi' car 'lundi' commence déjà par une voyelle
Secours Populaire - Comité de Villepinte,Les permanence,"Erreur d'accord : 'permanence' est un nom féminin, il faut utiliser l'article défini féminin 'la' ou 'les' avec l'accord correct, donc 'Les permanences'"
Secours Populaire - Comité de Villepinte,d'accueil (les inscriptions),"Erreur de formulation : il serait plus clair de séparer les deux informations, par exemple 'Les permanences d'accueil ont lieu le mercredi et vendredi pour les inscriptions'"
Secours Populaire - Comité de Villepinte,le mercredi et vendredi,"Erreur de formulation : il manque un article défini pour le deuxième jour, il faudrait 'le mercredi et le vendredi'"
APJC - Association Pavillonnaise pour la Jeunesse et la Culture,rencontres parents/parents,"erreur de répétition, il faudrait écrire 'rencontres parents-enfants'"
APJC - Association Pavillonnaise pour la Jeunesse et la Culture,activités pour tous.tes,"erreur d'orthographe, il faudrait écrire 'activités pour tous et toutes' ou utiliser le genre neutre 'activités pour tous'"
APJC - Association Pavillonnaise pour la Jeunesse et la Culture,Bar'Ouf,"erreur d'orthographe, il faudrait écrire 'Bar Ouf' ou 'Barouf' si c'est le nom d'un établissement"
ASAFI - Joliot Curie,ASL,"devrait être FSL (Français Signé Langue) ou plus probablement 'français' ou 'langue des signes française', ASL signifie American Sign Language"
ASAFI - Joliot Curie,de la cité Joliot Curie,"devrait être 'du quartier Joliot-Curie', 'cité' n'est pas le bon terme pour désigner un quartier"
Association Solidarité Emploi d'Aubervilliers (ASEA),,
Banque Alimentaire - Villemomble partage,,
Association de la Nouvelle Génération Immigrée (ANGI),,
Association des Femmes Relais et Médiateurs Interculturels d'Aulnay-Sous-Bois - Réseau ANDES,,
Secours Catholique de Saint-Denis,,
Secours Catholique de Dugny,,
Secours Catholique d'Epinay-sur-Seine,,
Secours Catholique de Pantin,un espace convivialité,"erreur d'orthographe, devrait être 'convivialité' remplacé par 'de convivialité' ou simplement 'convivial' pour un nom, mais dans ce contexte, 'un espace de convivialité' serait plus approprié"
Secours Catholique de Saint-Ouen,,
Secours Catholique d'Aulnay - Soutien Scolaire,,
Secours Catholique du Blanc-Mesnil - Paroisse Notre Dame,,
Secours Catholique de Bobigny - accueil social,,
Secours Catholique de Drancy,,
Secours Catholique de Sevran,les lundi,accord de l'article : 'le' au lieu de 'les'
Secours Catholique de Sevran,les samedi,accord de l'article : 'le' au lieu de 'les'
Secours Catholique de Tremblay-En-France,,
Secours Catholique de Villepinte - Accueil Social,,
Secours Catholique de Neuilly-sur-Marne,,
Secours Catholique de Noisy le Grand,ouvre ses portes pour un accueil convivial ouvert à tous,Manque de virgule après 'convivial' pour améliorer la clarté de la phrase
Secours Catholique de Noisy le Grand,"ecoute,accompagnement",Manque d'espace après la virgule
Secours Catholique de Noisy le Grand,aide urgence/financiere,"Utilisation incorrecte du slash, il faudrait utiliser 'aide en cas d'urgence financière'"
Secours Catholique de Noisy le Grand,Noisy le Grand,"Manque de trait d'union, il faudrait écrire 'Noisy-le-Grand' pour être cohérent avec le début du texte"
Secours Catholique de Bondy,à un accueil social,erreur d'accord : 'a' devrait être 'a un' ou 'propose un'
Secours Catholique de Bondy,t proposé,erreur d'orthographe : 't' devrait être 'est proposé' ou 'propose'
Secours Catholique de Bondy,ou une commune limitrophe,erreur d'accord : 'ou' devrait être 'ou à une'
Secours Catholique de Bondy,Toute demande fait l'objet,erreur de conjugaison : 'fait' devrait être 'fait l'objet' est correct mais 'Toute demande' devrait être 'Toutes les demandes' pour un accord
Secours Catholique de Bondy,sauf en période de vacances scolaires,erreur d'orthographe : 'sauf' est correct mais la phrase pourrait être 'hors période' pour plus de clarté
Secours Catholique de Livry-Gargan,,
Secours Catholique de Noisy-le-Sec,,
Equipe Mobile,,
PASS - Hôpital Ville-Evrard,,
Accompagnement Sans Hébergement,êtes humains,erreur d'accord : 'êtres' au lieu de 'êtes'
Accompagnement Sans Hébergement,violences prostitutionnelles,"expression peu claire, peut-être 'violence liée à la prostitution'"
Accompagnement Sans Hébergement,le premier et le troisième vendredi du mois de 11h à 12h,manque de précision sur la période de l'année ou la durée de l'accueil collectif
La Cimade Permanence juridique - Montreuil,,
ASTI - Association de Solidarité avec les Travailleurs Immigrés,,
Mouvement pour la Réinsertion Sociale (mrs93),,
Fontaine à eau,,
Fontaine à eau,,
Toilettes publiques,,
Fontaine à eau,,
Fontaine à eau,,
Toilettes publiques,,
Toilettes publiques,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Toilettes publiques,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Fontaine à eau,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Mission Locale Intercommunale - antenne de Romainville,pouvant bénéficier d’un accompagnement personnalisé par un conseiller,"manque de liaison avec la phrase précédente, une virgule ou un point serait nécessaire pour améliorer la cohésion"
Mission Locale Intercommunale - antenne de Romainville,travailler à l’étrange,"erreur d'orthographe, 'étrange' devrait être remplacé par 'étranger'"
Mission Locale Intercommunale - antenne de Romainville,"de garde d’enfants, etc.","utilisation abusive de 'etc.' qui est généralement utilisé pour éviter une énumération longue, mais ici il est préférable de donner des exemples précis ou de rephraser la phrase pour plus de clarté"
Mission Locale Intercommunale - antenne de Romainville,Accueille les jeunes de Romainville.,"manque de liaison avec le reste du texte, cette phrase semble être une phrase isolée et pourrait être intégrée dans le paragraphe précédent ou précédée d'une transition pour améliorer la cohésion"
Mission Locale Intercommunale - antenne de Bagnolet,pouvant bénéficier d’un accompagnement personnalisé par un conseiller,accord de genre : 'un conseiller' devrait être 'un conseiller ou une conseillère' ou 'des conseillers'
Mission Locale Intercommunale - antenne de Bagnolet,"rechercher un emploi, une formation",virgule de coordination : manque de conjonction de coordination ('et' ou 'ou')
Mission Locale Intercommunale - antenne de Bagnolet,prendre connaissance des modalités pour travailler à l’étranger,aucune erreur détectée dans ce fragment
Mission Locale Intercommunale - antenne de Bagnolet,"être informé en matière de droits à la santé, au logement, de garde d’enfants, etc.","répétition de prépositions : 'en matière de' est répété, utilisez 'aux' pour les droits"
Mission Locale Intercommunale - antenne de Bagnolet,Accueille les jeunes de Bagnolet,majuscule : 'Accueille' devrait être 'accueille'
Mission Locale Intercommunale - antenne de Bagnolet,Fermé le dernier vendredi de chaque mois,conjonction de coordination : manque de conjonction pour relier les deux phrases
Mission Locale Intercommunale - antenne de Noisy-le-Sec,pouvant bénéficier d’un accompagnement personnalisé par un conseiller,manque de virgule après 'conseiller' pour améliorer la lisibilité
Mission Locale Intercommunale - antenne de Noisy-le-Sec,"rechercher un emploi, une formation",manque de conjonction de coordination pour relier les deux éléments de la liste
Mission Locale Intercommunale - antenne de Noisy-le-Sec,prendre connaissance des modalités pour travailler à l’étranger,"pas d'erreur détectée, mais la phrase pourrait être plus concise"
Mission Locale Intercommunale - antenne de Noisy-le-Sec,"être informé en matière de droits à la santé, au logement, de garde d’enfants, etc.","utilisation incorrecte de la virgule après 'santé' et 'logement', préférer 'être informé en matière de droits à la santé, au logement et à la garde d’enfants'"
Mission Locale Intercommunale - antenne de Noisy-le-Sec,Ouvert aux demandeurs d'asile et réfugiés avec autorisation de travailler en France ou Union Européenne,"manque de conjonction de coordination pour relier les deux éléments de la liste, préférer 'Ouvert aux demandeurs d'asile et réfugiés ayant l’autorisation de travailler en France ou dans l’Union européenne'"
Mission Locale Intercommunale - antenne de Noisy-le-Sec,Accueille les jeunes de Noisy-le-Sec,"phrase isolée, manque de contexte ou de lien avec le reste du texte"
Mission Locale Intercommunale - antenne de Villepinte,,
Mission Locale Intercommunale - antenne de Gagny,demandeur,"accord de genre, devrait être 'demandeurs' pour s'accorder avec 'jeunes'"
Mission Locale Intercommunale - antenne de Gagny,Union Européenne,devrait être 'Union européenne' pour respecter les règles d'écriture des noms de organisations
Mission Locale Intercommunale - antenne des Pavillons-Sous-Bois,,
CSAPA Rabelais,,
Atelier de Production,ventes,accord de genre : 'vente'
Atelier de Production, Nous formons et préparons le retour à l’emploi de 170 personnes au travers de 19 métiers différents.,accord de genre : 'Nous formons et préparons les retours à l’emploi de 170 personnes à travers de 19 métiers différents.'
Casiers Solidaires - Croix de Chavaux,7j/7,"Erreur d'abréviation, devrait être 7j/7j ou simplement 24h/24 et 7 jours sur 7"
Casiers Solidaires - Croix de Chavaux,… etc.,"Erreur de ponctuation, les points de suspension ne sont pas nécessaires ici"
Circonscription de Service Social Départemental de L'Ile Saint Denis/ Saint-Ouen. Site de St Ouen,,
Mission Locale de la Marne aux Bois - Neuilly-sur-Marne,,
Antenne du CeGIDD (Bobigny) départemental à Montfermeil,mineur.e.s,accord de genre - utiliser 'mineurs' ou 'mineures' selon le contexte
Antenne du CeGIDD (Bobigny) départemental à Montfermeil,SUR RENDEZ-VOUS,majuscules inutiles - utiliser 'sur rendez-vous'
Antenne du CeGIDD (Bobigny) départemental à Montfermeil,au préalable,pas d'erreur en soi mais la phrase 'Ne vous déplacez pas sans rendez-vous ou sans avoir appelé au préalable' pourrait être simplifiée en 'Ne vous déplacez pas sans rendez-vous préalable'
Antenne du CeGIDD (Bobigny) départemental à Montfermeil,Sida Info Service,manque de lien ou d'information de contact - il serait utile de fournir le lien ou les coordonnées du site internet
Association d'Alphabétisation du Foyer Pinel (La Plaine),,
Association d'Alphabétisation du Foyer Pinel (Cristino Garcia),,
Restos du Coeur - Centre d’activités des Pavillons-sous-Bois,,
Médiathèque Elsa Triolet,,
point-justice du Centre Administratif et Social Fernand Lefort de Saint-Ouen,,
Consultation de Psychiatrie Transculturelle,,
Juris Secours Epinay-sur-Seine,,
Fontaine à eau,,
Toilettes publiques,,
Toilettes publiques,,
Secours Islamique France - Saint-Denis,le mardi après midi,manque de trait d'union : 'le mardi après-midi'
Secours Islamique France - Saint-Denis,le vendredi après midi,manque de trait d'union : 'le vendredi après-midi'
Secours Islamique France - Saint-Denis,le jeudi toute la journée,"manque de préposition : 'le jeudi tout au long de la journée' ou 'le jeudi toute la journée' devrait être 'le jeudi, toute la journée'"
Secours Islamique France - Saint-Denis,"des denrées de qualité (produits frais, fruits et légumes...) à environ 30% de leur valeur marchande","manque de virgule après 'légumes' pour une meilleure lisibilité : 'des denrées de qualité (produits frais, fruits et légumes), à environ 30% de leur valeur marchande'"
Secours Islamique France - Saint-Denis,"les mardis, vendredis, et dimanche","incohérence dans l'utilisation des pluriels et des jours de la semaine : 'les mardis, les vendredis et les dimanches'"
Secours Islamique France - Saint-Denis,le secteur sud ouest de la Seine Saint Denis,manque de trait d'union : 'le secteur sud-ouest de la Seine-Saint-Denis'
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Toilettes publiques,,
Fontaine à eau,,
Fontaine à eau,,
PMI Buisson,,
CCAS d'Aubervilliers,Polyvlalence,"erreur d'orthographe, devrait être 'Polyvalence'"
CCAS d'Aubervilliers,sans-abri,devrait être 'sans abri' (sans trait d'union)
CCAS d'Aubervilliers,facture d'énergie,"pas d'erreur en soi, mais 'facture d'électricité, de gaz, d'eau...' serait plus précis"
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
Fontaine à eau,,
CCAS de Bondy,,
CCAS de Clichy-sous-Bois,,
CCAS de Coubron,,
CCAS de Drancy,Le CCAS est fermés,"Erreur d'accord de verbe : 'est' est au singulier, mais 'fermés' est au pluriel. La phrase devrait être 'Le CCAS est fermé'."
CCAS de Aulnay-Sous-Bois,,
CCAS de Bagnolet,,
CCAS de Bobigny,,
CCAS de Dugny,les personnes âgées et les personnes handicapées,manque de conjonction de coordination pour une liste de plusieurs éléments (ajouter 'et' ou utiliser une virgule pour séparer les éléments de la liste)
CCAS de Dugny,les personnes sans-abri,meilleure formulation : les personnes sans abri
CCAS de Epinay-sur-Seine,Le CCAS de Epinay-sur-Seine,Il manque une préposition 'du' avant 'Epinay-sur-Seine' pour indiquer la possession
CCAS de Epinay-sur-Seine,les personnes non allocataires de la CAF,Il serait plus clair de préciser 'CAF' par 'Caisse d'Allocations Familiales' pour les non-initiés
CCAS de Epinay-sur-Seine,FSÉ­,Le tiret insécable est inutile après 'FSÉ'
CCAS de Epinay-sur-Seine,personnes sans-abri,Il faudrait 'personnes sans abri' pour une meilleure lisibilité et une cohérence orthographique
CCAS de Gagny,,
CCAS de Gournay-sur-Marne,,
CCAS de La Courneuve,,
CCAS du Blanc-Mesnil,les personnes non allocataires de la CAF,"manque de précision, il faudrait préciser ce que signifie CAF (Caisse d'Allocations Familiales)"
CCAS du Blanc-Mesnil,les aides suivantes -Aides alimentaire,"erreur de typographie, il manque un tiret ou un trait d'union avant 'Aides alimentaire'"
CCAS du Blanc-Mesnil,les aides suivantes -Aides financière,"erreur de typographie, il manque un tiret ou un trait d'union avant 'Aides financière'"
CCAS du Blanc-Mesnil,sous conditions de ressources,"formulation un peu vague, il faudrait préciser quelles sont les conditions de ressources"
CCAS du Blanc-Mesnil,personnes sans-abri,il faudrait utiliser le terme 'sans-abri' avec un trait d'union
CCAS du Bourget,,
CCAS de L’Ile Saint Denis,,
CCAS du Raincy,,
CCAS de Les Pavillons-sous-Bois,les personnes âgées et les personnes handicapées Le CCAS,manque de conjonction de coordination ou de ponctuation pour séparer les deux propositions
CCAS de Les Pavillons-sous-Bois,les personnes non allocataires de la CAF,"manque de précision sur ce que signifie CAF, il faudrait écrire 'Caisse d'Allocations Familiales'"
CCAS de Les Pavillons-sous-Bois,carte améthyste,"erreur de vocabulaire, il faudrait écrire 'carte mobilité inclusion' ou préciser ce que signifie 'carte améthyste'"
CCAS de Les Pavillons-sous-Bois,chèques eau Véolia,"erreur de vocabulaire, il faudrait écrire 'chèques eau' ou préciser le contexte"
CCAS de Les Pavillons-sous-Bois,personnes sans-abri,"manque d'hyphénation, il faudrait écrire 'personnes sans-abri' est correct mais il faudrait peut-être préciser 'personnes sans domicile fixe'"
CCAS de Les Pavillons-sous-Bois,Chacun peut se présenter au CCAS où les agents étudieront les demandes au cas par cas,manque de transition pour relier la phrase à la phrase précédente
CCAS de Livry-Gargan,,
CCAS de Montfermeil,,
CCAS de Montreuil,,
CCAS de Neuilly Plaisance,classes transplantée,"erreur d'orthographe, devrait être 'classes transplantées' ou plus probablement 'classes de découverte'"
CCAS de Neuilly Plaisance,les personnes non allocataires de la CAF,"erreur de formulation, devrait être 'les personnes non bénéficiaires de la CAF' ou 'les personnes qui ne touchent pas d'allocation de la CAF'"
CCAS de Neuilly Plaisance,carte améthyste,"erreur d'orthographe, devrait être 'carte mobilité inclusion' ou 'carte d'invalidité' avec une mention spécifique, car 'carte améthyste' n'est pas un terme standardisé"
CCAS de Neuilly Plaisance,sans-abri,"erreur d'orthographe, devrait être 'sans abri'"
CCAS de Neuilly Plaisance,Chacun peut se présenter au CCAS où les agents étudieront les demandes au cas par cas,"formulation un peu abrupte, mais pas d'erreur grammaticale ou orthographique majeure"
CCAS de Neuilly-sur-marne,,
CCAS de Noisy le Grand,séniors,"orthographe incorrecte, devrait être 'sénior' ou 'seniors'"
CCAS de Noisy le Grand,Domiciliation Instruction des demandes d’aides du CCAS,manque de ponctuation pour séparer les deux éléments de la liste
CCAS de Noisy le Grand,Instructions des demandes d’aide FSE et programme Eau solidaire,"orthographe incorrecte, devrait être 'Instruction' au lieu de 'Instructions'"
CCAS de Noisy le Grand,Instruction des demande d’aide sociale à l’hébergement et obligation alimentaire,"accord incorrect, devrait être 'demandes' au lieu de 'demande'"
CCAS de Noisy le Grand,Accompagnement de certains allocataires du RSA dans le cadre d’une convention avec le Département,"pas d'erreur détectée dans cette phrase, mais il manque un point à la fin de la phrase pour terminer le paragraphe"
CCAS de Noisy le Sec,,
CCAS de Pantin,,
CCAS de Pierrefitte-sur-Seine,Chacun chacune,"Répétition inutile, utiliser 'chacun' ou 'chacune' selon le contexte, ou 'chacun et chacune' pour inclure les deux genres"
CCAS de Romainville,les personnes âgées et les personnes handicapées Le CCAS,manque de conjonction de coordination ou de ponctuation pour séparer les deux phrases
CCAS de Romainville,D’autres aides peuvent être demandées en fonction de la commune à laquelle vous êtes rattaché,"manque de ponctuation pour finir la phrase, il faudrait un point"
CCAS de Romainville,Le CCAS propose également sous conditions une domiciliation administrative aux personnes sans-abri,il faudrait préciser les conditions
CCAS de Romainville,Chacun peut se présenter au CCAS où les agents étudieront les demandes au cas par cas,"manque de ponctuation pour finir le texte, il faudrait un point"
CCAS de Rosny-sous-Bois,,
CCAS de Saint-Ouen,,
CCAS de Sevran,,
CCAS de Stains,,
CCAS de Tremblay-en-France,,
CCAS de Vaujours,,
CCAS de Villemomble,les personnes non allocataires de la CAF,"manque de précision, il faudrait préciser que la CAF signifie Caisse d'Allocations Familiales"
CCAS de Villemomble,les personnes sans-abri,il serait préférable d'utiliser le terme 'personnes sans domicile fixe' pour plus de précision
CCAS de Villemomble,le jeudi 13h30 à 17h00,il manque une indication sur les heures d'ouverture le jeudi matin
CCAS de Villemomble,Pendant les vacances scolaires il y a une interruption de 12h00 à 13h30,il faudrait préciser si cette interruption s'applique à tous les jours de la semaine pendant les vacances scolaires
CCAS de Villepinte,les personnes âgées et les personnes handicapées Le CCAS,manque de conjonction de coordination ou de ponctuation pour séparer les deux phrases
CCAS de Villepinte,D’autres aides peuvent être demandées en fonction de la commune à laquelle vous êtes rattaché,accord de verbe : 'rattaché' devrait être 'rattachés' pour s'accorder avec 'vous'
CCAS de Villepinte,Chacun peut se présenter au CCAS où les agents étudieront les demandes au cas par cas,manque de conjonction de coordination ou de ponctuation pour séparer les deux phrases
CCAS de Villetaneuse,,
Médiathèque Saint-John Perse,,
Maison pour Tous Henri Roser,,
La Fabrique de Santé Madeleine Brès,,
Salle de Quartier Quatre Chemins,,
Médiathèque André Breton,,
Salle de quartier Centre-ville,,
Maison Pour Tous Berty Albrecht,,
Permanence RESF Aulnay-sous-Bois / Sevran,,
Permanence RESF Bagnolet,,
Maison de Justice et du Droit de Saint-Denis,,
Maison de quartier Romain Rolland,,
Maison de quartier de La Plaine,,
Secours Catholique - Carrières Plateforme Emploi,,
Centre Municipal de Santé (CMS) Henri Barbusse,,
Centre Municipal de Santé (CMS) Docteur Pesqué,,
Centre Municipal de Santé (CMS) Balagny,,
Centre Municipal de Santé (CMS) Salvador Allende,,
Secours Catholique de La Courneuve,,
Maison de l'Emploi à Pantin,,
Mission Locale de la Dhuys - Livry-Gargan,,
Centre d'accueil pour mineurs non-accompagnés,,
Service Social Municipal de Polyvalence d'Aubervilliers,,
Accueil de jour Wilson,,
Epicerie Solidaire Wicasaya,denrées alimentaires vendues sont à prix réduit,accord : devrait être 'sont' au lieu de 'est' pour s'accorder avec le sujet 'denrées alimentaires'
Epicerie Solidaire Wicasaya,les jours d'ouvertures,orthographe : devrait être 'les jours d'ouverture' pour utiliser le mot correct
Epicerie Solidaire Wicasaya,les adhérents et les habitants du quartier et des villes limitrophes,"répétition : la phrase pourrait être simplifiée en 'les adhérents, les habitants du quartier et des villes limitrophes' pour éviter la répétition de 'les'"
Epicerie Solidaire Wicasaya,etc …,orthographe : devrait être 'etc.' au lieu de 'etc …' pour utiliser le point abréviatif correct
